"Country Name","Country Code","Classification Name","Classification Code","Sector Name","Sector Code","Unit Name","Unit Code",Attribute,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,"Indicator Code","Global DSD Time Series Code",
"Lebanon","446","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Lebanon","446","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Nature of data","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Azerbaijan, Rep. of","912","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Value",,,,,,,,"0.0814705559929442","0.221058101484488","0.0930177793476981","0.325640336392612","0.164767818032029","0.265546045168609","0.142677766838772","0.38874586244943","1.0162978360022","0.704031118402907","0.960645257953354","0.7771697212326",,"GEI_G14_GDP_PT","A|AZ|S1311|W0|S1|G24|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"Azerbaijan, Rep. of","912","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Status","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","",
"Azerbaijan, Rep. of","912","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Azerbaijan, Rep. of","912","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","",
"Azerbaijan, Rep. of","912","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Azerbaijan, Rep. of","912","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Nature of data","","","","","","","","A","A","A","A","A","A","A","A","A","A","A","A","",
"Austria","122","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Value","0.107847182859086","0.0848434275562738","0.0732158067820368","0.061989293921187","0.0582229656597461","0.0635192312574956","0.0707766094556621","0.0913222579238492","0.0647435583648476","0.0527616741794262","0.0687746954005532","0.070242530199769","0.0655119844944679","0.0667635010585446","0.0621228788044708","0.0590534887362699","0.0588588386947249","0.0486918919592207","0.0458076631501848","0.045706825098699","GEI_G14_GDP_PT","A|AT|S1313|W0|S1|G24|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"Austria","122","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
